"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","8d3933d1a04dc4fb821ed0340b1063a8",506.66667,360,640,126.30314,757.8188,0.25608,1,0,6.99242,6.99242,22.88889,419.22223,-0.92671
"f","d61cb825f28bc0b4c1364b3d063b3ac5",1492.54167,360,780,108.21666,2597.19969,0.18006,0.07729,0,0,0,494.60417,1474.9375,0.88877
"f","9c960c8e28004bd5a05eefd2a29f1dfe",730.30953,360,640,120.75152,5071.56371,0.159,1,0.42858,0.35715,0.35715,2646.1661,1791.42631,-0.17445
"f","a1a857b5b06e372f9c815718ac340077",823.66667,640,360,162.85405,2442.81064,0.25458,1,0,0.63334,0.63334,21385.12889,2987.68889,-0.2382
"f","9c960c8e28004bd5a05eefd2a29f1dfe",164.54902,360,640,45.2328,4613.74549,0.25677,1,0,1.07844,1.07844,103.97425,106.02624,-0.7224
"f","8c47753e45070e4943f563a1d0ab5c1d",543,360,640,324.18668,324.18668,0.59703,1,0,0.79498,1.32496,0,0,nan
"f","ca447ef6847a8593a4530b41066d365e",843.08334,640,360,151.30936,1815.71222,0.30433,1,0,7.39743,7.39743,2156.35417,336.40973,-0.15128
"f","d61cb825f28bc0b4c1364b3d063b3ac5",245.5,320,694,96.15513,1153.86151,0.4094,0.03595,0,0,0,233.91667,258.33334,-0.36272
"f","9c960c8e28004bd5a05eefd2a29f1dfe",1213.21213,360,640,71.17436,2348.75361,0.19918,1,0.45455,0.5,0.5,14411.81451,22977.48394,0.80587
"f","58cda9784e306b50aebf68c79eab7414",486.8,360,640,195.22699,976.13491,0.44363,1,0,9.53965,9.53965,361.04001,2323.84,-0.19843
"f","3183f6f7626d168628851a35bd2de577",827.9375,320,570,204.21501,3267.44012,0.34493,1,0,0.3328,0.3328,299.7461,1067.6875,-0.15469
"f","8d3933d1a04dc4fb821ed0340b1063a8",507.81819,360,640,141.3978,1555.37574,0.2974,1,0,7.35566,7.35566,988.5124,5130,0.55235
"f","0703d9e1462f9de372465d6e32e8a27d",409,360,640,252,252,0.61614,1,0,2,2,0,0,nan
"f","fcafb45fd3eda8100cfc558dfe9ba987",134.05556,360,640,40.48607,1457.49821,0.26645,1,0,0,0,658.45062,865.51544,-0.31608
